protocol,experiment,slice_type,slice_value,n_queries,n_true_classes,macro_f1,macro_precision,macro_recall,weighted_f1,accuracy
template_grouped,T1-E1,signal_agreement,prototype_cluster_against_rule,84,5,0.38947818101463355,0.6078469022017409,0.32518315018315014,0.4612877060286585,0.4166666666666667
template_grouped,T1-E1,signal_agreement,two_signal_including_rule,127,7,0.37053978289880546,0.4015974967061924,0.4589280312405467,0.47437433700828413,0.47244094488188976
template_grouped,T1-E1,signal_agreement,unanimous,143,5,0.699547322184239,0.7759820426487094,0.691976880877743,0.7314798064056918,0.7482517482517482
template_grouped,T1-E1,query_length,4-7 tokens,210,10,0.5275461101971723,0.6277412280701754,0.5169548958504183,0.5999060943739486,0.638095238095238
template_grouped,T1-E1,query_length,8+ tokens,144,9,0.4115275730282371,0.5895576131687243,0.4161667620559949,0.4444241276888713,0.4722222222222222
row_stratified,T1-E2,language,EN,162,11,0.9314443132624952,0.9527417027417028,0.9218417945690672,0.9213403880070545,0.9197530864197531
row_stratified,T1-E2,language,ID,88,7,0.992794302471722,0.9910714285714286,0.9948979591836735,0.9887163423087176,0.9886363636363636
row_stratified,T1-E2,language,MIXED,112,9,0.9421098529094706,0.980646059593428,0.922756981580511,0.9537650546331654,0.9553571428571429
row_stratified,T1-E2,signal_agreement,prototype_cluster_against_rule,84,5,0.7447028667578746,0.7511904761904762,0.7466300366300367,0.8309161935913364,0.8214285714285714
row_stratified,T1-E2,signal_agreement,two_signal_including_rule,127,7,0.8422635118109103,0.8445652173913043,0.8446996259934549,0.9803299550298389,0.9763779527559056
row_stratified,T1-E2,signal_agreement,unanimous,151,6,0.9920255183413077,0.9901960784313726,0.9942528735632185,0.9934197323531586,0.9933774834437086
row_stratified,T1-E2,query_length,4-7 tokens,218,11,0.9668417624865253,0.9673750639604299,0.9697143652367534,0.9546230894404757,0.9541284403669725
row_stratified,T1-E2,query_length,8+ tokens,144,9,0.9502164502164503,0.9641597227804124,0.9389323807968457,0.9378156565656565,0.9375
template_grouped,T1-E2,language,EN,154,10,0.5919200407435702,0.6774756493506494,0.6049711399711399,0.6492471368712773,0.6623376623376623
template_grouped,T1-E2,language,ID,88,7,0.7110428400750981,0.765502354788069,0.7115646258503402,0.7911643314869121,0.7954545454545454
template_grouped,T1-E2,language,MIXED,112,9,0.6377579322784802,0.6754873294346978,0.6180184194890077,0.7276732122622533,0.7142857142857143
template_grouped,T1-E2,signal_agreement,prototype_cluster_against_rule,84,5,0.495357833655706,0.5440303657694961,0.4753663003663003,0.6816385741917657,0.6428571428571429
template_grouped,T1-E2,signal_agreement,two_signal_including_rule,127,7,0.42859283403814125,0.49082186065915717,0.45575885540959926,0.4979663636379648,0.5433070866141733
template_grouped,T1-E2,signal_agreement,unanimous,143,5,0.8579753579753578,0.8697435897435899,0.903448275862069,0.8969992711251453,0.9020979020979021
template_grouped,T1-E2,query_length,4-7 tokens,210,10,0.6383430455515539,0.6357519292301902,0.6627517358263628,0.7306727988814573,0.7523809523809524
template_grouped,T1-E2,query_length,8+ tokens,144,9,0.6106857919472739,0.640314153773553,0.6240103460605696,0.655375902448009,0.6527777777777778
row_stratified,T1-E3,language,EN,162,11,0.9744580555752247,0.9834710743801653,0.9674931129476584,0.9687456641761008,0.9691358024691358
row_stratified,T1-E3,language,ID,88,7,0.8537037037037036,0.8583333333333334,0.849404761904762,0.9654882154882155,0.9545454545454546
row_stratified,T1-E3,language,MIXED,112,9,0.8714027822023999,0.8695349484823169,0.8737373737373737,0.9464598598279707,0.9553571428571429
row_stratified,T1-E3,signal_agreement,prototype_cluster_against_rule,84,5,0.6077533577533577,0.6005847953216374,0.6166666666666667,0.8512122797837084,0.8690476190476191
row_stratified,T1-E3,signal_agreement,two_signal_including_rule,127,7,0.842447020496988,0.8445652173913043,0.8450554134697357,0.9803357348309751,0.9763779527559056
row_stratified,T1-E3,signal_agreement,unanimous,151,6,1.0,1.0,1.0,1.0,1.0
row_stratified,T1-E3,query_length,4-7 tokens,218,11,0.9666581726249277,0.9688311688311689,0.9688644688644689,0.9684454367888696,0.9678899082568807
row_stratified,T1-E3,query_length,8+ tokens,144,9,0.9711635790890983,0.9730990460157128,0.9723551302498671,0.9510823730834473,0.9513888888888888
template_grouped,T1-E3,language,EN,154,10,0.9182026274092836,0.9290737055921733,0.9292424242424241,0.9197672143140759,0.922077922077922
template_grouped,T1-E3,language,ID,88,7,0.5792905011655012,0.6106376262626263,0.6135854341736695,0.6826724411951685,0.6818181818181818
template_grouped,T1-E3,language,MIXED,112,9,0.6208709273182957,0.6418034298358842,0.6327476445123504,0.6871742414070893,0.6607142857142857
template_grouped,T1-E3,signal_agreement,prototype_cluster_against_rule,84,5,0.37816817548275344,0.3729166666666666,0.4006410256410256,0.5620228767835637,0.5833333333333334
template_grouped,T1-E3,signal_agreement,two_signal_including_rule,127,7,0.5862372416381171,0.6135714285714287,0.5786390011825208,0.7869811973106416,0.7322834645669292
template_grouped,T1-E3,signal_agreement,unanimous,143,5,0.9409715105554417,0.9279999999999999,0.971875,0.9415906905146504,0.9370629370629371
template_grouped,T1-E3,query_length,4-7 tokens,210,10,0.8478110807244665,0.8485547785547787,0.8910413864742225,0.8358057731960992,0.8333333333333334
template_grouped,T1-E3,query_length,8+ tokens,144,9,0.6980652413736991,0.7118994805020213,0.7268409519871508,0.6974170835038371,0.7013888888888888
row_stratified,T1-E4,language,EN,162,11,0.9777065585128212,0.9858484653502578,0.9716253443526172,0.9750170214126502,0.9753086419753086
row_stratified,T1-E4,language,ID,88,7,0.8537037037037036,0.8583333333333334,0.849404761904762,0.9654882154882155,0.9545454545454546
row_stratified,T1-E4,language,MIXED,112,9,0.8714027822023999,0.8695349484823169,0.8737373737373737,0.9464598598279707,0.9553571428571429
row_stratified,T1-E4,signal_agreement,prototype_cluster_against_rule,84,5,0.6159090909090909,0.6077586206896551,0.625,0.864069264069264,0.8809523809523809
