protocol,split,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query,validation,conservative_relevance_grade,2,100,49,51,0.03,0.003401360544217687,0.02040816326530612,0.02040816326530612,0.008746355685131196,0.03333333333333333,0.003401360544217687,0.02040816326530612,0.02040816326530612,0.005891054678396313,0.03,0.003401360544217687,0.02040816326530612,0.02040816326530612,0.005550304499089732,0.041999999999999996,0.028911564625850338,0.061224489795918366,0.025364431486880466,0.012682770026870491,0.044,0.04591836734693878,0.10204081632653061,0.028000485908649175,0.018782027182740236
query,validation,event_hierarchy_relevance_grade,1,100,70,30,0.03,0.0023809523809523807,0.014285714285714285,0.014285714285714285,0.006122448979591836,0.03333333333333333,0.0023809523809523807,0.014285714285714285,0.014285714285714285,0.004123738274877419,0.03,0.005238095238095239,0.02857142857142857,0.017857142857142856,0.004023937469266894,0.041999999999999996,0.027619047619047616,0.11428571428571428,0.028424036281179135,0.013547560941313978,0.044,0.054200680272108843,0.18571428571428572,0.03357905982905983,0.022703475651643424
query,validation,event_hierarchy_relevance_grade,2,100,42,58,0.03,0.004761904761904762,0.023809523809523808,0.023809523809523808,0.01020408163265306,0.03333333333333333,0.004761904761904762,0.023809523809523808,0.023809523809523808,0.006872897124795698,0.03,0.004761904761904762,0.023809523809523808,0.023809523809523808,0.006706562448778155,0.041999999999999996,0.034523809523809526,0.07142857142857142,0.02959183673469388,0.01566753755595378,0.044,0.05436507936507936,0.11904761904761904,0.0326672335600907,0.02239189151535911
query,test,relevance_grade,1,100,68,32,0.03,0.0,0.0,0.0,0.0,0.04666666666666666,0.006617647058823529,0.04411764705882353,0.0196078431372549,0.0073643562235630325,0.042,0.011659663865546219,0.07352941176470588,0.02549019607843137,0.00837753669725101,0.04100000000000001,0.02017390289449113,0.1323529411764706,0.03424369747899159,0.013198500280176136,0.0415,0.024725723622782445,0.14705882352941177,0.035108749382105786,0.01416611494397055
query,test,relevance_grade,2,100,61,39,0.03,0.0,0.0,0.0,0.0,0.04666666666666666,0.003278688524590164,0.01639344262295082,0.00819672131147541,0.008209446282004693,0.042,0.012841530054644808,0.04918032786885246,0.014754098360655736,0.009338893367427355,0.04100000000000001,0.0202576112412178,0.09836065573770492,0.021779859484777512,0.01471308227954061,0.0415,0.024355971896955503,0.11475409836065574,0.022744179639068742,0.0157917346916393
query,test,conservative_relevance_grade,1,100,68,32,0.03,0.0,0.0,0.0,0.0,0.04666666666666666,0.006617647058823529,0.04411764705882353,0.0196078431372549,0.0073643562235630325,0.042,0.011659663865546219,0.07352941176470588,0.02549019607843137,0.007765375090631467,0.04100000000000001,0.02017390289449113,0.1323529411764706,0.03424369747899159,0.013165538551466233,0.0415,0.024725723622782445,0.14705882352941177,0.035108749382105786,0.013774823103875355
query,test,conservative_relevance_grade,2,100,46,54,0.03,0.0,0.0,0.0,0.0,0.04666666666666666,0.004347826086956522,0.021739130434782608,0.010869565217391304,0.01088643963483231,0.042,0.011594202898550725,0.043478260869565216,0.015217391304347825,0.011479250133976951,0.04100000000000001,0.02391304347826087,0.10869565217391304,0.02453416149068323,0.019462100467384866,0.0415,0.02391304347826087,0.10869565217391304,0.02453416149068323,0.02036278197964183
query,test,event_hierarchy_relevance_grade,1,100,68,32,0.03,0.0,0.0,0.0,0.0,0.04666666666666666,0.006617647058823529,0.04411764705882353,0.0196078431372549,0.0064910721145488735,0.042,0.011659663865546219,0.07352941176470588,0.02549019607843137,0.00806387242953851,0.04100000000000001,0.02017390289449113,0.1323529411764706,0.03424369747899159,0.012054264589713629,0.0415,0.024725723622782445,0.14705882352941177,0.035108749382105786,0.012925291144422217
query,test,event_hierarchy_relevance_grade,2,100,42,58,0.03,0.0,0.0,0.0,0.0,0.04666666666666666,0.011904761904761904,0.023809523809523808,0.011904761904761904,0.010509354852126748,0.042,0.01984126984126984,0.047619047619047616,0.016666666666666666,0.013055793457348065,0.04100000000000001,0.03531746031746032,0.11904761904761904,0.02687074829931973,0.019516428383345875,0.0415,0.03531746031746032,0.11904761904761904,0.02687074829931973,0.02092666185287407
query_dedup,train,relevance_grade,1,300,213,87,0.05333333333333334,0.004953796855205305,0.03286384976525822,0.03286384976525822,0.019450033534540577,0.05,0.01636485580147552,0.07511737089201878,0.04929577464788732,0.021908927511720303,0.044000000000000004,0.024878903047917133,0.10328638497652583,0.0556338028169014,0.02367039182827418,0.04133333333333333,0.04118414188836724,0.1596244131455399,0.06381250465757508,0.028802446404499537,0.04016666666666666,0.05785639764513004,0.20187793427230047,0.06652547325976445,0.034773045048146094
query_dedup,train,relevance_grade,2,300,191,109,0.05333333333333334,0.006681625529793069,0.03664921465968586,0.03664921465968586,0.021690351533283473,0.05,0.022621125238926284,0.07329842931937172,0.05061082024432809,0.02443246890050484,0.044000000000000004,0.032394249148175853,0.09424083769633508,0.05506108202443281,0.02639682439488168,0.04133333333333333,0.04749023518657027,0.13612565445026178,0.061325105958613804,0.030543932400494345,0.04016666666666666,0.06185905426743123,0.16753926701570682,0.0632460926446873,0.03532532689090628
query_dedup,train,conservative_relevance_grade,1,300,213,87,0.05333333333333334,0.004953796855205305,0.03286384976525822,0.03286384976525822,0.01632014308070646,0.05,0.01636485580147552,0.07511737089201878,0.04929577464788732,0.021116952877681693,0.044000000000000004,0.024878903047917133,0.10328638497652583,0.0556338028169014,0.02310526829710047,0.04133333333333333,0.04118414188836724,0.1596244131455399,0.06381250465757508,0.027704976922979695,0.04016666666666666,0.05785639764513004,0.20187793427230047,0.06652547325976445,0.03374373063944404
query_dedup,train,conservative_relevance_grade,2,300,156,144,0.05333333333333334,0.009996947496947496,0.038461538461538464,0.038461538461538464,0.022283272283272284,0.05,0.026770451770451766,0.07051282051282051,0.05128205128205127,0.025627634377860257,0.044000000000000004,0.03050976800976801,0.08333333333333333,0.053846153846153835,0.025862623974665756,0.04133333333333333,0.04354395604395604,0.11538461538461539,0.0584630647130647,0.029488614614988976,0.04016666666666666,0.06352258852258852,0.15384615384615385,0.06081504200178289,0.03543581575716121
query_dedup,train,event_hierarchy_relevance_grade,1,300,213,87,0.05333333333333334,0.004953796855205305,0.03286384976525822,0.03286384976525822,0.017214397496087636,0.05,0.01636485580147552,0.07511737089201878,0.04929577464788732,0.02012200772063132,0.044000000000000004,0.024878903047917133,0.10328638497652583,0.0556338028169014,0.02268575636587481,0.04133333333333333,0.04118414188836724,0.1596244131455399,0.06381250465757508,0.027888653602021102,0.04016666666666666,0.05785639764513004,0.20187793427230047,0.06652547325976445,0.03374898218895346
query_dedup,train,event_hierarchy_relevance_grade,2,300,138,162,0.05333333333333334,0.008695652173913044,0.028985507246376812,0.028985507246376812,0.026570048309178744,0.05,0.027898550724637677,0.06521739130434782,0.04347826086956521,0.02743469307604689,0.044000000000000004,0.03333333333333333,0.07971014492753623,0.04637681159420289,0.028588502164469516,0.04133333333333333,0.047222222222222214,0.10869565217391304,0.05038819875776397,0.032610803138140035,0.04016666666666666,0.07041062801932366,0.15217391304347827,0.052996633631645064,0.03905833085979622
query_dedup,validation,relevance_grade,1,99,69,30,0.0707070707070707,0.015458937198067632,0.057971014492753624,0.057971014492753624,0.037267080745341616,0.060606060606060594,0.018357487922705314,0.07246376811594203,0.06521739130434782,0.027245850662154514,0.05252525252525253,0.021256038647342997,0.08695652173913043,0.06884057971014493,0.02429553053646757,0.04444444444444444,0.035748792270531404,0.11594202898550725,0.07236024844720497,0.02815143390977508,0.04292929292929293,0.058149298366689674,0.18840579710144928,0.07773229186272665,0.035282978730562645
query_dedup,validation,relevance_grade,2,99,58,41,0.0707070707070707,0.015804597701149423,0.05172413793103448,0.05172413793103448,0.04433497536945813,0.060606060606060594,0.019252873563218392,0.06896551724137931,0.0603448275862069,0.032413167167045884,0.05252525252525253,0.019252873563218392,0.06896551724137931,0.0603448275862069,0.028903303569245902,0.04444444444444444,0.027873563218390802,0.08620689655172414,0.06280788177339901,0.03349049896162898,0.04292929292929293,0.032902298850574704,0.1206896551724138,0.06545286609941782,0.03756150875170702
query_dedup,validation,conservative_relevance_grade,1,99,69,30,0.0707070707070707,0.015458937198067632,0.057971014492753624,0.057971014492753624,0.037267080745341616,0.060606060606060594,0.018357487922705314,0.07246376811594203,0.06521739130434782,0.027245850662154514,0.05252525252525253,0.021256038647342997,0.08695652173913043,0.06884057971014493,0.0243577735459203,0.04444444444444444,0.035748792270531404,0.11594202898550725,0.07236024844720497,0.02813750830894779,0.04292929292929293,0.058149298366689674,0.18840579710144928,0.07773229186272665,0.036174883510189514
query_dedup,validation,conservative_relevance_grade,2,99,48,51,0.0707070707070707,0.006944444444444444,0.020833333333333332,0.020833333333333332,0.011904761904761904,0.060606060606060594,0.011111111111111112,0.041666666666666664,0.03125,0.016615370352092637,0.05252525252525253,0.011111111111111112,0.041666666666666664,0.03125,0.015174562013113046,0.04444444444444444,0.011111111111111112,0.041666666666666664,0.03125,0.016915445593630736,0.04292929292929293,0.021527777777777774,0.08333333333333333,0.03444602272727273,0.023136713595211227
query_dedup,validation,event_hierarchy_relevance_grade,1,99,69,30,0.0707070707070707,0.015458937198067632,0.057971014492753624,0.057971014492753624,0.045548654244306416,0.060606060606060594,0.018357487922705314,0.07246376811594203,0.06521739130434782,0.02911818116842113,0.05252525252525253,0.021256038647342997,0.08695652173913043,0.06884057971014493,0.026365620717123405,0.04444444444444444,0.035748792270531404,0.11594202898550725,0.07236024844720497,0.029980923768051858,0.04292929292929293,0.058149298366689674,0.18840579710144928,0.07773229186272665,0.03794208066541707
