protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query,test,full:minus_intent,relevance_grade,1,query_intent,Prophylaxis / Maintenance,8,6,2,0.0,0.0,0.0,0.0,0.0,0.125,0.03333333333333333,0.16666666666666666,0.05555555555555555,0.01935507605285811,0.07500000000000001,0.03333333333333333,0.16666666666666666,0.05555555555555555,0.018202949966168214,0.037500000000000006,0.03333333333333333,0.16666666666666666,0.05555555555555555,0.018202949966168214,0.037500000000000006,0.03333333333333333,0.16666666666666666,0.05555555555555555,0.018202949966168214
query,test,full:minus_intent,relevance_grade,1,query_intent,Safety / Contraindication,14,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021428571428571432,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.0026617219094556576,0.024999999999999998,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.0026617219094556576
query,test,full:minus_intent,relevance_grade,1,query_intent,Treatment Change / Escalation,11,7,4,0.0,0.0,0.0,0.0,0.0,0.0606060606060606,0.0,0.0,0.0,0.0,0.05454545454545456,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.0,0.0
query,test,full:minus_intent,relevance_grade,1,has_context,False,56,39,17,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.005128205128205128,0.02564102564102564,0.008547008547008546,0.0029777040081320166,0.03571428571428571,0.010256410256410256,0.05128205128205128,0.013675213675213675,0.004176163190852648,0.03928571428571429,0.017124542124542126,0.10256410256410256,0.021001221001221,0.00898832383040733,0.03928571428571429,0.03115588115588116,0.1794871794871795,0.026513252829042305,0.012636808567526196
query,test,full:minus_intent,relevance_grade,1,has_context,True,44,29,15,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.006896551724137932,0.034482758620689655,0.017241379310344827,0.01465375511546187,0.03636363636363637,0.006896551724137932,0.034482758620689655,0.017241379310344827,0.0118558906106724,0.03863636363636364,0.011206896551724138,0.06896551724137931,0.021551724137931036,0.012406591695387364,0.029545454545454552,0.016133004926108373,0.10344827586206896,0.02401477832512315,0.015585101215958023
query,test,full:minus_intent,relevance_grade,1,multiple_entity_dimensions,True,100,68,32,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0058823529411764705,0.029411764705882353,0.012254901960784312,0.007957196392140336,0.036000000000000004,0.008823529411764707,0.04411764705882353,0.015196078431372547,0.007451341061069896,0.03900000000000001,0.014600840336134454,0.08823529411764706,0.0212359943977591,0.010446114537531167,0.035,0.02474906629318394,0.14705882352941177,0.025447726937665022,0.01389416866759271
query,test,selected:complete,relevance_grade,1,query_language,EN,50,34,16,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0058823529411764705,0.029411764705882353,0.014705882352941176,0.0043100094227246765,0.04,0.009150326797385621,0.058823529411764705,0.020588235294117647,0.008225199518935829,0.036000000000000004,0.012826797385620915,0.08823529411764706,0.025490196078431372,0.008329782741743045,0.033,0.016094771241830067,0.11764705882352941,0.02712418300653595,0.009283607967135935
query,test,selected:complete,relevance_grade,1,query_language,ID,18,12,6,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.016666666666666666,0.08333333333333333,0.027777777777777776,0.0065177600836493965,0.022222222222222223,0.016666666666666666,0.08333333333333333,0.027777777777777776,0.005778755257262851,0.03888888888888889,0.0375,0.25,0.050099206349206345,0.017297145617256423,0.0638888888888889,0.06180555555555556,0.3333333333333333,0.05426587301587301,0.0257908759850958
query,test,selected:complete,relevance_grade,1,query_language,MIXED,32,22,10,0.03125,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.03125,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.030615632646817204,0.03125,0.009090909090909092,0.045454545454545456,0.045454545454545456,0.024770141767566648,0.03125,0.018181818181818184,0.09090909090909091,0.050505050505050504,0.0284319060967252,0.0296875,0.03035714285714286,0.18181818181818182,0.05659271284271284,0.030415723210423407
query,test,selected:complete,relevance_grade,1,query_intent,Comparative Treatment Choice,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
