slice_family,slice_name,split,system,system_label,global_queries,queries,eligible_queries,no_positive_queries,support_flag,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10
pharmacotherapy_sub_intent,Efficacy / Outcomes,validation,hybrid,Hybrid without intent,20,4,3,1,very_sparse,0.025,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Efficacy / Outcomes,validation,hybrid_intent,Hybrid + predicted intent,20,4,3,1,very_sparse,0.025,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Efficacy / Outcomes,test,bm25,BM25,20,6,1,5,very_sparse,0.016666666666666666,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Efficacy / Outcomes,test,bm25_structured,BM25 + structure,20,6,1,5,very_sparse,0.016666666666666666,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Efficacy / Outcomes,test,hybrid,Hybrid without intent,20,6,1,5,very_sparse,0.016666666666666666,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Efficacy / Outcomes,test,hybrid_intent,Hybrid + predicted intent,20,6,1,5,very_sparse,0.016666666666666666,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Interaction / Combination,validation,bm25,BM25,21,7,7,0,sparse,0.042857142857142864,0.1285714285714286,0.42857142857142855,0.07278911564625848,0.05104438941927417
pharmacotherapy_sub_intent,Interaction / Combination,validation,bm25_structured,BM25 + structure,21,7,7,0,sparse,0.042857142857142864,0.1285714285714286,0.42857142857142855,0.07755102040816327,0.051651567265279454
pharmacotherapy_sub_intent,Interaction / Combination,validation,hybrid,Hybrid without intent,21,7,7,0,sparse,0.028571428571428574,0.05714285714285715,0.2857142857142857,0.048979591836734684,0.02040802788477483
pharmacotherapy_sub_intent,Interaction / Combination,validation,hybrid_intent,Hybrid + predicted intent,21,7,7,0,sparse,0.028571428571428574,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.009906437583879171
pharmacotherapy_sub_intent,Interaction / Combination,test,bm25,BM25,21,6,6,0,sparse,0.016666666666666666,0.018518518518518517,0.16666666666666666,0.027777777777777766,0.010680790777347534
pharmacotherapy_sub_intent,Interaction / Combination,test,bm25_structured,BM25 + structure,21,6,6,0,sparse,0.016666666666666666,0.018518518518518517,0.16666666666666666,0.03333333333333333,0.0038665642218393
pharmacotherapy_sub_intent,Interaction / Combination,test,hybrid,Hybrid without intent,21,6,6,0,sparse,0.016666666666666666,0.018518518518518517,0.16666666666666666,0.03333333333333333,0.0038665642218393
pharmacotherapy_sub_intent,Interaction / Combination,test,hybrid_intent,Hybrid + predicted intent,21,6,6,0,sparse,0.05000000000000001,0.20370370370370372,0.3333333333333333,0.057142857142857134,0.06808966227157642
pharmacotherapy_sub_intent,Safety / Contraindication,validation,bm25,BM25,84,26,19,7,sparse,0.02692307692307692,0.10526315789473684,0.10526315789473684,0.03508771929824561,0.05263157894736842
pharmacotherapy_sub_intent,Safety / Contraindication,validation,bm25_structured,BM25 + structure,84,26,19,7,sparse,0.03461538461538461,0.15789473684210525,0.15789473684210525,0.03654970760233918,0.0648266607230197
pharmacotherapy_sub_intent,Safety / Contraindication,validation,hybrid,Hybrid without intent,84,26,19,7,sparse,0.03461538461538462,0.15789473684210525,0.15789473684210525,0.029385964912280703,0.058133142268611396
pharmacotherapy_sub_intent,Safety / Contraindication,validation,hybrid_intent,Hybrid + predicted intent,84,26,19,7,sparse,0.030769230769230767,0.10526315789473684,0.10526315789473684,0.05921052631578947,0.06923499351503835
pharmacotherapy_sub_intent,Safety / Contraindication,test,bm25,BM25,84,19,15,4,sparse,0.0368421052631579,0.011111111111111106,0.06666666666666667,0.008333333333333333,0.00277947796718274
pharmacotherapy_sub_intent,Safety / Contraindication,test,bm25_structured,BM25 + structure,84,19,15,4,sparse,0.02631578947368421,0.011111111111111106,0.06666666666666667,0.013333333333333334,0.00340845822586308
pharmacotherapy_sub_intent,Safety / Contraindication,test,hybrid,Hybrid without intent,84,19,15,4,sparse,0.031578947368421054,0.011111111111111106,0.06666666666666667,0.013333333333333334,0.00340845822586308
pharmacotherapy_sub_intent,Safety / Contraindication,test,hybrid_intent,Hybrid + predicted intent,84,19,15,4,sparse,0.02631578947368421,0.011111111111111106,0.06666666666666667,0.06666666666666667,0.008810736699130633
intent_hypothesis_group,Available preferred-content-type intents,validation,bm25,BM25,303,81,65,16,adequate,0.03703703703703704,0.05423076923076923,0.1076923076923077,0.02347985347985348,0.022511151073528593
intent_hypothesis_group,Available preferred-content-type intents,validation,bm25_structured,BM25 + structure,303,81,65,16,adequate,0.034567901234567905,0.0676923076923077,0.1076923076923077,0.02416361416361416,0.02663035847357575
intent_hypothesis_group,Available preferred-content-type intents,validation,hybrid,Hybrid without intent,303,81,65,16,adequate,0.034567901234567905,0.06,0.09230769230769231,0.01899267399267399,0.021309102684386672
intent_hypothesis_group,Available preferred-content-type intents,validation,hybrid_intent,Hybrid + predicted intent,303,81,65,16,adequate,0.02345679012345679,0.03384615384615385,0.046153846153846156,0.022435897435897436,0.02130476830573666
intent_hypothesis_group,Available preferred-content-type intents,test,bm25,BM25,303,82,61,21,adequate,0.028048780487804875,0.006602914389799635,0.04918032786885246,0.008060109289617486,0.004579677118561552
intent_hypothesis_group,Available preferred-content-type intents,test,bm25_structured,BM25 + structure,303,82,61,21,adequate,0.03048780487804878,0.022996357012750455,0.06557377049180328,0.012477231329690346,0.009321371289639759
intent_hypothesis_group,Available preferred-content-type intents,test,hybrid,Hybrid without intent,303,82,61,21,adequate,0.028048780487804875,0.006602914389799635,0.04918032786885246,0.009836065573770493,0.004064092602941154
intent_hypothesis_group,Available preferred-content-type intents,test,hybrid_intent,Hybrid + predicted intent,303,82,61,21,adequate,0.029268292682926834,0.04121129326047359,0.08196721311475409,0.03185011709601873,0.018243707639502605
intent_hypothesis_group,Other observed intents,validation,bm25,BM25,197,58,48,10,adequate,0.039655172413793106,0.07378472222222222,0.125,0.023544973544973546,0.026006488899615248
intent_hypothesis_group,Other observed intents,validation,bm25_structured,BM25 + structure,197,58,48,10,adequate,0.03793103448275863,0.07378472222222222,0.125,0.03268849206349206,0.033767186143371083
intent_hypothesis_group,Other observed intents,validation,hybrid,Hybrid without intent,197,58,48,10,adequate,0.03793103448275863,0.07465277777777778,0.125,0.03231646825396825,0.03534141819620454
intent_hypothesis_group,Other observed intents,validation,hybrid_intent,Hybrid + predicted intent,197,58,48,10,adequate,0.039655172413793106,0.07465277777777778,0.10416666666666667,0.04377480158730159,0.0452208315034377
intent_hypothesis_group,Other observed intents,test,bm25,BM25,197,57,49,8,adequate,0.02982456140350877,0.027891156462585033,0.08163265306122448,0.035228377065111754,0.01722292534387983
intent_hypothesis_group,Other observed intents,test,bm25_structured,BM25 + structure,197,57,49,8,adequate,0.0368421052631579,0.04217687074829932,0.10204081632653061,0.03809523809523809,0.021549908045227332
intent_hypothesis_group,Other observed intents,test,hybrid,Hybrid without intent,197,57,49,8,adequate,0.0368421052631579,0.03809523809523809,0.08163265306122448,0.03469387755102041,0.019743314579291252
intent_hypothesis_group,Other observed intents,test,hybrid_intent,Hybrid + predicted intent,197,57,49,8,adequate,0.03508771929824561,0.04625850340136054,0.12244897959183673,0.022448979591836733,0.018848150692649286
