experiment,protocol,split,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20,experiment_family,source_file
R-B0,temporal,test,relevance_grade,2,139,96,43,0.0215827338129496,0.0026041666666666,0.0104166666666666,0.0104166666666666,0.0044642857142857,0.0359712230215827,0.0130208333333333,0.0208333333333333,0.0138888888888888,0.0077845977666447,0.0316546762589928,0.015625,0.03125,0.0159722222222222,0.0095573637767265,0.0287769784172661,0.0229166666666666,0.0520833333333333,0.0191964285714285,0.0117008713133579,0.0284172661870503,0.0458333333333333,0.0729166666666666,0.0205419146825396,0.0176418342550888,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,test,conservative_relevance_grade,1,139,110,29,0.0215827338129496,0.0018181818181818,0.009090909090909,0.009090909090909,0.0038961038961038,0.0359712230215827,0.0063636363636363,0.0181818181818181,0.0121212121212121,0.0067938307781627,0.0316546762589928,0.0090151515151515,0.0363636363636363,0.0162121212121212,0.0077795253040018,0.0287769784172661,0.0160858585858585,0.0636363636363636,0.0201623376623376,0.010678376455532,0.0284172661870503,0.0471969696969697,0.1,0.0227435064935064,0.0182303777124727,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,test,conservative_relevance_grade,2,139,76,63,0.0215827338129496,0.0043859649122807,0.0131578947368421,0.0131578947368421,0.0056390977443609,0.0359712230215827,0.0175438596491228,0.0263157894736842,0.0175438596491228,0.0098331761262881,0.0316546762589928,0.0219298245614035,0.0394736842105263,0.0201754385964912,0.0112598392557921,0.0287769784172661,0.0311403508771929,0.0657894736842105,0.0242481203007518,0.0154555448698489,0.0284172661870503,0.0600877192982456,0.0921052631578947,0.0259476817042606,0.0230182042573972,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,test,event_hierarchy_relevance_grade,1,139,110,29,0.0215827338129496,0.0018181818181818,0.009090909090909,0.009090909090909,0.0038961038961038,0.0359712230215827,0.0063636363636363,0.0181818181818181,0.0121212121212121,0.006659193380037,0.0316546762589928,0.0090151515151515,0.0363636363636363,0.0162121212121212,0.0083615012790823,0.0287769784172661,0.0160858585858585,0.0636363636363636,0.0201623376623376,0.0107772852595968,0.0284172661870503,0.0471969696969697,0.1,0.0227435064935064,0.0186200313548888,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,test,event_hierarchy_relevance_grade,2,139,69,70,0.0215827338129496,0.0072463768115942,0.0144927536231884,0.0144927536231884,0.0062111801242236,0.0359712230215827,0.0217391304347826,0.0289855072463768,0.0193236714975845,0.0106161053884649,0.0316546762589928,0.0289855072463768,0.0434782608695652,0.0222222222222222,0.0133299295753486,0.0287769784172661,0.036231884057971,0.0579710144927536,0.0242926155969634,0.0171811793993572,0.0284172661870503,0.0700483091787439,0.1014492753623188,0.0269697492523579,0.0259745713656225,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,train,relevance_grade,1,300,212,88,0.0633333333333333,0.0092224468403713,0.0471698113207547,0.0471698113207547,0.0296495956873315,0.0544444444444444,0.0200977088948787,0.0849056603773584,0.0613207547169811,0.0273143738785047,0.0493333333333333,0.0294380802635519,0.1179245283018868,0.0688679245283018,0.0287589102301107,0.042,0.0470387840670859,0.1745283018867924,0.076916741539383,0.0348635916960937,0.0393333333333333,0.0628930817610062,0.2216981132075471,0.0799836361600702,0.0404687028563411,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,train,relevance_grade,2,300,190,110,0.0633333333333333,0.0106641604010025,0.0473684210526315,0.0473684210526315,0.0330827067669173,0.0544444444444444,0.026687552213868,0.0842105263157894,0.0614035087719298,0.0304770908539105,0.0493333333333333,0.0365121136173767,0.1052631578947368,0.0658771929824561,0.0320888893093867,0.042,0.0544569757727652,0.1526315789473684,0.0727380952380952,0.0373160602310941,0.0393333333333333,0.0682059314954051,0.1894736842105263,0.0751257314553713,0.0422230367635291,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,train,conservative_relevance_grade,1,300,212,88,0.0633333333333333,0.0092224468403713,0.0471698113207547,0.0471698113207547,0.0265049415992812,0.0544444444444444,0.0200977088948787,0.0849056603773584,0.0613207547169811,0.0265186635150602,0.0493333333333333,0.0294380802635519,0.1179245283018868,0.0688679245283018,0.028203901867619,0.042,0.0470387840670859,0.1745283018867924,0.076916741539383,0.0326868918096832,0.0393333333333333,0.0628930817610062,0.2216981132075471,0.0799836361600702,0.0386507594267944,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,train,conservative_relevance_grade,2,300,153,147,0.0633333333333333,0.0112822906940554,0.0392156862745098,0.0392156862745098,0.0236539060068471,0.0544444444444444,0.0283846872082166,0.0718954248366013,0.0522875816993464,0.0264021617412063,0.0493333333333333,0.0321973233737939,0.0849673202614379,0.0549019607843137,0.0270592613768733,0.042,0.046031746031746,0.1176470588235294,0.0594926859632741,0.0313034696909493,0.0393333333333333,0.0658574540927482,0.1633986928104575,0.0624577244030288,0.0378942011289738,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,train,event_hierarchy_relevance_grade,1,300,212,88,0.0633333333333333,0.0092224468403713,0.0471698113207547,0.0471698113207547,0.0300988319856244,0.0544444444444444,0.0200977088948787,0.0849056603773584,0.0613207547169811,0.0264773483111243,0.0493333333333333,0.0294380802635519,0.1179245283018868,0.0688679245283018,0.0285587910316512,0.042,0.0470387840670859,0.1745283018867924,0.076916741539383,0.0335808599100434,0.0393333333333333,0.0628930817610062,0.2216981132075471,0.0799836361600702,0.0394182045025546,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,train,event_hierarchy_relevance_grade,2,300,139,161,0.0633333333333333,0.0095923261390887,0.0287769784172661,0.0287769784172661,0.0315176430284344,0.0544444444444444,0.0286570743405275,0.0647482014388489,0.0431654676258992,0.0289983591594974,0.0493333333333333,0.0340527577937649,0.079136690647482,0.0460431654676258,0.0303259244132117,0.042,0.048441247002398,0.1079136690647482,0.0498972250770811,0.0348193951113729,0.0393333333333333,0.0708633093525179,0.158273381294964,0.0531109404500165,0.0418809708581538,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,validation,relevance_grade,1,100,70,30,0.03,0.0023809523809523,0.0142857142857142,0.0142857142857142,0.0061224489795918,0.0333333333333333,0.0023809523809523,0.0142857142857142,0.0142857142857142,0.0041237382748774,0.03,0.0052380952380952,0.0285714285714285,0.0178571428571428,0.0038460525753703,0.0419999999999999,0.0276190476190476,0.1142857142857142,0.0284240362811791,0.0111606752357561,0.044,0.0542006802721088,0.1857142857142857,0.0335790598290598,0.0200710096862676,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query,validation,relevance_grade,2,100,56,44,0.03,0.0029761904761904,0.0178571428571428,0.0178571428571428,0.0076530612244897,0.0333333333333333,0.0029761904761904,0.0178571428571428,0.0178571428571428,0.0051546728435967,0.03,0.0029761904761904,0.0178571428571428,0.0178571428571428,0.0048075657192129,0.0419999999999999,0.0199404761904761,0.0714285714285714,0.0247448979591836,0.0139508440446952,0.044,0.0300595238095238,0.1071428571428571,0.0270514455782312,0.0186871341894766,phase9_bm25,outputs/retrieval/bm25_metrics.csv
