protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_language,EN,47,31,16,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0064516129032258064,0.03225806451612903,0.01075268817204301,0.0037461437521660854,0.029787234042553193,0.0064516129032258064,0.03225806451612903,0.01075268817204301,0.003523151606355138,0.03191489361702128,0.02186379928315412,0.12903225806451613,0.022171018945212492,0.009850733939977775,0.02978723404255319,0.046057347670250895,0.25806451612903225,0.029998343423390864,0.02148269101201841
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_language,ID,22,17,5,0.045454545454545456,0.0,0.0,0.0,0.0,0.0909090909090909,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.004600771823752515,0.06363636363636363,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.004079121358067895,0.059090909090909104,0.026470588235294117,0.17647058823529413,0.032679738562091505,0.007967871756662564,0.06363636363636364,0.07794117647058824,0.29411764705882354,0.04006151480199923,0.025465498931413116
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_language,MIXED,32,20,12,0.0625,0.0,0.0,0.0,0.0,0.05208333333333333,0.0,0.0,0.0,0.0,0.05625000000000001,0.0,0.0,0.0,0.0,0.040625,0.014583333333333332,0.1,0.01125,0.008461761328549543,0.034374999999999996,0.036309523809523805,0.2,0.016875,0.011676958808248228
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Comparative Treatment Choice,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Dosing / Administration,25,17,8,0.04,0.0,0.0,0.0,0.0,0.013333333333333332,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.044000000000000004,0.01911764705882353,0.11764705882352941,0.01241830065359477,0.01122757256126515,0.038000000000000006,0.027521008403361344,0.17647058823529413,0.015359477124183007,0.012277031444544428
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Efficacy / Outcomes,6,3,3,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.049999999999999996,0.08333333333333333,0.3333333333333333,0.020833333333333332,0.05811098399210102
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Guideline / Evidence Lookup,8,7,1,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.05,0.08928571428571429,0.2857142857142857,0.017927170868347338,0.019105773111047494
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Interaction / Combination,5,4,1,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.05,0.25,0.08333333333333333,0.01955328025094819,0.04,0.05,0.25,0.08333333333333333,0.017336265771788553,0.04,0.05,0.25,0.08333333333333333,0.017336265771788553,0.02,0.05,0.25,0.08333333333333333,0.017336265771788553
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Management / Treatment Selection,10,8,2,0.1,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.020833333333333332,0.125,0.0125,0.0020385040612386387,0.045,0.06770833333333333,0.375,0.027205882352941177,0.027800735549704657
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Mechanism / Background Knowledge,7,3,4,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.08571428571428573,0.0,0.0,0.0,0.0,0.05714285714285715,0.037037037037037035,0.3333333333333333,0.047619047619047616,0.015306726023415746,0.03571428571428571,0.0787037037037037,0.6666666666666666,0.06845238095238095,0.02154303359886155
